store_id,transaction_id,timestamp,basket_value_inr
STORE_BLR_002,TXN_00401,2026-03-03T10:15:22Z,890.00
STORE_BLR_002,TXN_00402,2026-03-03T10:22:45Z,1560.00
STORE_BLR_002,TXN_00403,2026-03-03T10:35:10Z,420.00
STORE_BLR_002,TXN_00404,2026-03-03T10:42:33Z,2100.00
STORE_BLR_002,TXN_00405,2026-03-03T10:55:18Z,750.00
STORE_BLR_002,TXN_00406,2026-03-03T11:05:40Z,1340.00
STORE_BLR_002,TXN_00407,2026-03-03T11:12:22Z,680.00
STORE_BLR_002,TXN_00408,2026-03-03T11:25:55Z,1890.00
STORE_BLR_002,TXN_00409,2026-03-03T11:38:12Z,560.00
STORE_BLR_002,TXN_00410,2026-03-03T11:45:30Z,3200.00
STORE_BLR_002,TXN_00411,2026-03-03T12:02:18Z,1100.00
STORE_BLR_002,TXN_00412,2026-03-03T12:15:45Z,480.00
STORE_BLR_002,TXN_00413,2026-03-03T12:28:33Z,920.00
STORE_BLR_002,TXN_00414,2026-03-03T12:42:10Z,1650.00
STORE_BLR_002,TXN_00415,2026-03-03T12:55:22Z,730.00
STORE_BLR_002,TXN_00416,2026-03-03T13:10:40Z,2400.00
STORE_BLR_002,TXN_00417,2026-03-03T13:22:15Z,550.00
STORE_BLR_002,TXN_00418,2026-03-03T13:35:48Z,1280.00
STORE_BLR_002,TXN_00419,2026-03-03T13:48:22Z,960.00
STORE_BLR_002,TXN_00420,2026-03-03T14:02:30Z,1750.00
STORE_BLR_002,TXN_00421,2026-03-03T14:15:18Z,420.00
STORE_BLR_002,TXN_00422,2026-03-03T14:28:45Z,890.00
STORE_BLR_002,TXN_00423,2026-03-03T14:38:12Z,1240.00
STORE_BLR_002,TXN_00424,2026-03-03T14:41:55Z,680.00
STORE_BLR_002,TXN_00425,2026-03-03T14:55:30Z,1520.00
STORE_MUM_001,TXN_00501,2026-03-03T10:18:30Z,1200.00
STORE_MUM_001,TXN_00502,2026-03-03T10:32:15Z,780.00
STORE_MUM_001,TXN_00503,2026-03-03T10:45:22Z,2350.00
STORE_MUM_001,TXN_00504,2026-03-03T11:02:18Z,650.00
STORE_MUM_001,TXN_00505,2026-03-03T11:18:45Z,1890.00
STORE_MUM_001,TXN_00506,2026-03-03T11:35:10Z,920.00
STORE_MUM_001,TXN_00507,2026-03-03T11:48:33Z,440.00
STORE_MUM_001,TXN_00508,2026-03-03T12:05:22Z,1680.00
STORE_MUM_001,TXN_00509,2026-03-03T12:22:40Z,530.00
STORE_MUM_001,TXN_00510,2026-03-03T12:38:18Z,3100.00
STORE_MUM_001,TXN_00511,2026-03-03T12:55:30Z,850.00
STORE_MUM_001,TXN_00512,2026-03-03T13:10:45Z,1420.00
STORE_MUM_001,TXN_00513,2026-03-03T13:25:22Z,670.00
STORE_MUM_001,TXN_00514,2026-03-03T13:42:18Z,2200.00
STORE_MUM_001,TXN_00515,2026-03-03T13:58:30Z,980.00
STORE_MUM_001,TXN_00516,2026-03-03T14:12:45Z,1560.00
STORE_MUM_001,TXN_00517,2026-03-03T14:28:10Z,720.00
STORE_MUM_001,TXN_00518,2026-03-03T14:42:33Z,1850.00
STORE_MUM_001,TXN_00519,2026-03-03T14:55:18Z,490.00
STORE_MUM_001,TXN_00520,2026-03-03T15:08:22Z,1350.00
STORE_DEL_001,TXN_00601,2026-03-03T10:12:30Z,950.00
STORE_DEL_001,TXN_00602,2026-03-03T10:28:18Z,1780.00
